Attributes,Adj Close,Close,High,Low,Open,Volume
Symbols,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Date,,,,,,
2014-01-02,6221.14990234375,6221.14990234375,6358.2998046875,6211.2998046875,6301.25,158100.0
2014-01-03,6211.14990234375,6211.14990234375,6221.7001953125,6171.25,6194.5498046875,139000.0
2014-01-06,6191.4501953125,6191.4501953125,6224.7001953125,6170.25,6220.85009765625,118300.0
2014-01-07,6162.25,6162.25,6221.5,6144.75,6203.89990234375,138600.0
2014-01-08,6174.60009765625,6174.60009765625,6192.10009765625,6160.35009765625,6178.0498046875,146900.0
2014-01-09,6168.35009765625,6168.35009765625,6188.0498046875,6148.25,6181.7001953125,150100.0
2014-01-10,6171.4501953125,6171.4501953125,6239.10009765625,6139.60009765625,6178.85009765625,159900.0
2014-01-13,6272.75,6272.75,6288.2001953125,6189.5498046875,6189.5498046875,135000.0
2014-01-14,6241.85009765625,6241.85009765625,6280.35009765625,6234.14990234375,6260.25,110200.0
2014-01-15,6320.89990234375,6320.89990234375,6325.2001953125,6265.2998046875,6265.9501953125,145900.0
2014-01-16,6318.89990234375,6318.89990234375,6346.5,6299.85009765625,6341.35009765625,153400.0
2014-01-17,6261.64990234375,6261.64990234375,6327.10009765625,6246.35009765625,6306.25,167700.0
2014-01-20,6303.9501953125,6303.9501953125,6307.4501953125,6243.35009765625,6261.75,122100.0
2014-01-21,6313.7998046875,6313.7998046875,6330.2998046875,6297.89990234375,6320.14990234375,141700.0
2014-01-22,6338.9501953125,6338.9501953125,6349.9501953125,6287.4501953125,6309.0498046875,137500.0
2014-01-23,6345.64990234375,6345.64990234375,6355.60009765625,6316.39990234375,6325.9501953125,120100.0
2014-01-24,6266.75,6266.75,6331.4501953125,6263.89990234375,6301.64990234375,160300.0
2014-01-27,6135.85009765625,6135.85009765625,6188.5498046875,6130.25,6186.2998046875,190400.0
2014-01-28,6126.25,6126.25,6163.60009765625,6085.9501953125,6131.85009765625,184100.0
2014-01-29,6120.25,6120.25,6170.4501953125,6109.7998046875,6161.0,146700.0
2014-01-30,6073.7001953125,6073.7001953125,6082.85009765625,6027.25,6067.0,208100.0
2014-01-31,6089.5,6089.5,6097.85009765625,6067.35009765625,6082.75,146700.0
2014-02-03,6001.7998046875,6001.7998046875,6074.85009765625,5994.4501953125,6058.7998046875,134900.0
2014-02-04,6000.89990234375,6000.89990234375,6017.7998046875,5933.2998046875,5947.60009765625,183300.0
2014-02-05,6022.39990234375,6022.39990234375,6028.0498046875,5962.0498046875,6004.25,166600.0
2014-02-06,6036.2998046875,6036.2998046875,6048.35009765625,5965.39990234375,6028.35009765625,185500.0
2014-02-07,6063.2001953125,6063.2001953125,6079.9501953125,6030.89990234375,6077.64990234375,181900.0
2014-02-10,6053.4501953125,6053.4501953125,6083.0498046875,6046.39990234375,6072.7998046875,133100.0
2014-02-11,6062.7001953125,6062.7001953125,6081.85009765625,6053.25,6072.4501953125,150500.0
2014-02-12,6084.0,6084.0,6106.60009765625,6077.39990234375,6085.35009765625,138500.0
2014-02-13,6001.10009765625,6001.10009765625,6094.39990234375,5991.10009765625,6087.5498046875,153700.0
2014-02-14,6048.35009765625,6048.35009765625,6056.39990234375,5984.60009765625,6023.75,140200.0
2014-02-18,6127.10009765625,6127.10009765625,6141.7001953125,6066.7998046875,6071.2998046875,126600.0
2014-02-19,6152.75,6152.75,6160.35009765625,6125.75,6132.0498046875,95200.0
2014-02-20,6091.4501953125,6091.4501953125,6129.10009765625,6086.4501953125,6127.14990234375,132100.0
2014-02-21,6155.4501953125,6155.4501953125,6159.64990234375,6108.0,6108.2998046875,112600.0
2014-02-24,6186.10009765625,6186.10009765625,6191.85009765625,6130.7998046875,6140.9501953125,144900.0
2014-02-25,6200.0498046875,6200.0498046875,6216.85009765625,6176.60009765625,6205.7001953125,146300.0
2014-02-26,6238.7998046875,6238.7998046875,6245.9501953125,6202.10009765625,6202.4501953125,181700.0
